Rank,Model,Model Type,Open Weights,Instruction Tuned,ST Compatible,Modalities,License,Release Date,Memory (MB),Zero-shot,Active Params (B),Total Params (B),Embedding Dim,Max Tokens,Openness Score,Openness: Open weights,Openness: Open license,Openness: Training code,Openness: Training data,Openness: Paper,Openness: Model card,Mean (Task),Mean (TaskType),Classification,Clustering,PairClassification,Reranking,Retrieval,STS,Summarization
124,Snowflake/snowflake-arctic-embed-s,dense,true,true,true,text,apache-2.0,2024-04-12,127,95,0.033,0.033,384,512,4,true,true,false,false,true,true,61.59,58.04,69.55,43.26,82.07,45.88,54.85,78.20,32.49
125,Snowflake/snowflake-arctic-embed-m-long,dense,true,true,true,text,apache-2.0,2024-04-12,522,87,0.137,0.137,768,2048,4,true,true,false,false,true,true,,,,45.10,82.02,45.63,57.02,76.36,24.98
126,Snowflake/snowflake-arctic-embed-m,dense,true,true,true,text,apache-2.0,2024-04-12,415,95,0.109,0.109,768,512,4,true,true,false,false,true,true,61.09,55.83,67.49,45.48,81.07,44.85,57.53,74.78,19.63
127,intfloat/e5-small-v2,dense,true,true,true,text,mit,2024-02-08,127,100,0.033,0.033,384,512,4,true,true,false,false,true,true,61.32,58.19,74.58,42.05,84.79,44.10,48.46,80.09,33.23
128,intfloat/e5-small,dense,true,true,true,text,mit,2024-02-08,127,100,0.033,0.033,384,512,4,true,true,false,false,true,true,60.41,57.42,73.50,42.21,85.09,44.46,45.07,80.57,31.06
129,sdadas/mmlw-e5-small,dense,true,false,true,text,apache-2.0,2023-11-17,449,95,0.118,0.118,384,512,4,true,true,false,false,true,true,58.86,56.60,75.78,45.41,82.04,45.51,36.36,79.01,32.09
130,intfloat/multilingual-e5-base,dense,true,true,true,text,mit,2024-02-08,1061,95,0.278,0.278,768,514,4,true,true,false,false,true,true,61.00,57.09,73.81,41.95,83.57,44.28,48.97,79.86,27.17
131,voyageai/voyage-multilingual-2,dense,false,true,false,text,,2024-06-10,,100,,,1024,32000,1,false,false,false,false,false,true,,,74.45,46.03,78.11,47.40,,76.98,27.91
132,Lajavaness/bilingual-embedding-small,dense,true,false,true,text,apache-2.0,2024-07-17,449,97,0.118,0.118,384,512,4,true,true,false,false,true,true,59.62,56.55,73.20,42.80,83.01,43.85,41.68,81.46,29.84
133,ibm-granite/granite-embedding-30m-english,dense,true,false,true,text,apache-2.0,2024-12-18,58,87,0.03,0.03,384,512,4,true,true,false,false,true,true,60.20,56.02,67.73,46.08,78.93,47.51,51.82,75.94,24.17
134,BAAI/bge-en-icl,dense,true,false,true,text,apache-2.0,2024-07-25,27125,58,7.11,7.11,4096,32768,6,true,true,true,true,true,true,,,90.20,,88.16,47.88,,,
135,voyageai/voyage-3-lite,dense,false,true,false,text,,2024-09-18,,100,,,512,32000,1,false,false,false,false,false,true,60.44,56.87,70.14,45.00,78.73,46.20,50.30,77.20,30.49
136,McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised,dense,true,true,false,text,mit,2024-04-09,28629,95,7.547,7.547,4096,8192,5,true,true,true,false,true,true,,,80.11,,87.80,48.93,,,
137,sentence-transformers/all-MiniLM-L6-v2,dense,true,false,true,text,apache-2.0,2021-08-30,87,100,0.023,0.023,384,256,4,true,true,false,false,true,true,59.03,55.93,69.25,44.90,82.37,47.14,42.92,78.95,25.96
138,Haon-Chen/e5-omni-3B,dense,true,true,true,video; audio; image; text,mit,2026-01-06,8971,100,4.703,4.703,2048,32768,4,true,true,false,false,true,true,59.70,55.25,67.88,45.87,75.65,45.55,51.19,75.88,24.72
139,izhx/udever-bloom-3b,dense,true,false,false,text,https://huggingface.co/spaces/bigscience/license,2023-10-24,,100,3.003,3.003,,,3,true,false,false,false,true,true,,,72.08,38.38,84.10,45.45,,,24.52
140,brahmairesearch/slx-v0.1,dense,true,false,true,text,apache-2.0,2024-08-13,87,NA,0.023,0.023,384,512,3,true,true,false,false,false,true,,,,45.76,82.37,47.14,42.92,78.95,25.97
141,ibm-granite/granite-embedding-278m-multilingual,dense,true,false,true,text,apache-2.0,2024-12-18,530,87,0.278,0.278,768,512,4,true,true,false,false,true,true,60.36,56.94,69.81,43.29,81.36,46.44,51.45,76.55,29.69
142,deepfile/embedder-100p,dense,true,false,false,text,,2023-07-24,1061,NA,0.278,0.278,768,514,2,true,false,false,false,false,true,,,72.70,45.70,81.61,,40.55,80.16,27.17
143,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,dense,true,false,true,text,apache-2.0,2019-11-01,1061,100,0.278,0.278,768,512,4,true,true,false,false,true,true,58.27,55.71,72.50,43.52,81.73,45.16,37.14,80.50,29.45
144,Mihaiii/gte-micro-v4,dense,true,false,true,text,mit,2024-04-22,73,NA,0.019,0.019,384,512,3,true,true,false,false,false,true,58.90,56.04,73.04,43.89,82.67,44.78,39.51,79.78,28.59
145,Haon-Chen/e5-omni-7B,dense,true,true,true,video; audio; image; text,mit,2026-01-06,17036,100,8.932,8.932,3584,32768,4,true,true,false,false,true,true,58.67,54.42,70.05,45.89,75.60,45.29,48.83,72.12,23.19
146,BAAI/bge-multilingual-gemma2,dense,true,false,true,text,https://ai.google.dev/gemma/terms,2024-07-25,35254,58,9.24,9.24,3584,8192,3,true,false,false,false,true,true,,,88.74,,85.97,48.19,,,
147,zeta-alpha-ai/Zeta-Alpha-E5-Mistral,dense,true,true,true,text,mit,2024-08-30,13563,75,7.111,7.111,4096,32768,3,true,true,false,false,false,true,,,81.39,,88.26,48.39,,,
148,intfloat/multilingual-e5-small,dense,true,true,true,text,mit,2024-02-08,449,95,0.118,0.118,384,512,4,true,true,false,false,true,true,59.69,56.40,70.69,41.36,84.09,43.19,46.43,79.84,29.22
149,HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2,dense,true,true,true,text,mit,2025-06-25,942,58,0.494,0.494,896,512,4,true,true,false,false,true,true,,,88.81,,86.25,47.08,,,
150,jxm/cde-small-v2,dense,true,true,true,text,mit,2025-01-13,1166,58,0.306,0.306,768,512,6,true,true,true,true,true,true,,,83.32,,85.23,45.35,,,
151,Tevatron/OmniEmbed-v0.1,dense,true,true,true,video; audio; image; text,mit,2025-04-12,17036,95,8.932,8.932,3584,32768,6,true,true,true,true,true,true,57.70,52.83,67.31,46.65,68.44,45.09,52.16,68.33,21.79
152,sentence-transformers/all-MiniLM-L12-v2,dense,true,false,true,text,apache-2.0,2021-08-30,127,100,0.033,0.033,384,256,4,true,true,false,false,true,true,,,,44.54,82.46,47.54,43.67,79.79,23.79
153,jinaai/jina-embedding-b-en-v1,dense,true,false,true,text,apache-2.0,2023-07-07,420,100,0.11,0.11,768,512,4,true,true,false,false,true,true,,,,39.95,83.04,46.98,46.38,80.00,27.15
154,Snowflake/snowflake-arctic-embed-xs,dense,true,true,true,text,apache-2.0,2024-07-08,86,95,0.023,0.023,384,512,4,true,true,false,false,true,true,59.77,56.12,67.00,42.44,81.33,45.26,52.65,76.21,27.96
155,Octen/Octen-Embedding-8B,dense,true,true,true,text,apache-2.0,2025-12-23,14433,95,7.567,7.567,4096,32768,4,true,true,false,false,true,true,,,,,,,,,
156,llmrails/ember-v1,dense,true,false,true,text,mit,2023-10-10,1278,NA,0.335,0.335,1024,512,4,true,true,false,false,true,true,,,80.08,,87.37,48.37,,,
157,Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,dense,true,false,true,text,apache-2.0,2024-06-14,1061,100,0.278,0.278,768,514,4,true,true,false,false,true,true,56.93,54.91,72.89,40.66,82.07,44.01,33.80,80.32,30.64
158,microsoft/harrier-oss-v1-27b,dense,true,true,true,text,mit,2026-03-27,51515,87,27.009,27.009,5376,131072,3,true,true,false,false,false,true,,,,,,,,,
159,mixedbread-ai/mxbai-embed-2d-large-v1,dense,true,true,true,text,apache-2.0,2024-03-04,,NA,0.335,0.335,768,512,3,true,true,false,false,false,true,,,78.47,,85.90,47.81,,,
160,McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,dense,true,true,false,text,mit,2024-04-09,27126,100,7.153,7.153,4096,32768,5,true,true,true,false,true,true,56.20,53.93,75.72,40.74,80.94,44.17,31.05,78.24,26.69
161,Mihaiii/Bulbasaur,dense,true,false,true,text,mit,2024-04-27,66,NA,0.017,0.017,384,512,3,true,true,false,false,false,true,57.75,55.19,72.89,42.51,82.73,44.63,36.96,78.84,27.76
162,ibm-granite/granite-embedding-107m-multilingual,dense,true,false,true,text,apache-2.0,2024-12-18,204,87,0.107,0.107,384,512,4,true,true,false,false,true,true,58.76,55.57,68.78,42.36,80.46,46.10,47.91,75.52,27.83
163,McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised,dense,true,true,false,text,mit,2024-04-09,27126,95,6.647,6.647,4096,32768,5,true,true,true,false,true,true,,,80.41,,88.03,,,,
164,Gameselo/STS-multilingual-mpnet-base-v2,dense,true,false,true,text,,2024-06-07,1061,4,0.278,0.278,768,514,3,true,false,false,false,true,true,51.21,50.60,68.76,36.08,82.47,42.47,25.54,71.80,27.10
165,bigscience/sgpt-bloom-7b1-msmarco,dense,true,false,true,text,,2022-08-26,,NA,7.068,7.068,4096,,3,true,false,false,false,true,true,56.08,53.62,71.91,33.80,81.90,45.88,39.45,77.43,24.95
166,nvidia/llama-embed-nemotron-8b,dense,true,true,true,text,https://huggingface.co/nvidia/llama-embed-nemotron-8b/blob/main/LICENSE,2025-10-23,28629,95,7.505,7.505,4096,32768,5,true,false,true,true,true,true,,,,,,,,,
167,voyageai/voyage-code-3,dense,false,true,false,text,,2024-12-04,,100,,,1024,32000,1,false,false,false,false,false,true,,,75.15,48.60,83.10,,,82.38,31.05
168,jinaai/jina-embeddings-v2-base-en,dense,true,false,true,text,apache-2.0,2023-09-27,262,95,0.137,0.137,768,8192,4,true,true,false,false,true,true,45.97,44.73,49.07,25.38,85.37,46.39,26.67,74.15,6.04
169,izhx/udever-bloom-1b1,dense,true,false,false,text,https://huggingface.co/spaces/bigscience/license,2023-10-24,,100,1.065,1.065,,,3,true,false,false,false,true,true,,,,39.48,83.16,45.00,,,27.97
170,microsoft/harrier-oss-v1-0.6b,dense,true,true,true,text,mit,2026-03-27,1137,87,0.596,0.596,1024,32768,3,true,true,false,false,false,true,,,,,,,,,
171,jxm/cde-small-v1,dense,true,true,true,text,mit,2024-09-24,1072,58,0.281,0.281,768,512,6,true,true,true,true,true,true,,,83.26,,84.69,45.69,,,
172,tencent/KaLM-Embedding-Gemma3-12B-2511,dense,true,true,true,text,,2025-11-06,44884,58,11.766,11.766,3840,32768,4,true,false,true,false,true,true,,,,,,,,,
173,McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised,dense,true,true,false,text,mit,2024-04-09,27126,95,1.295,1.295,4096,32768,5,true,true,true,false,true,true,,,77.28,,86.20,46.34,,,
174,Alibaba-NLP/gme-Qwen2-VL-7B-Instruct,dense,true,true,true,image; text,apache-2.0,2024-12-24,31629,95,7.746,7.746,3584,32768,4,true,true,false,false,true,true,,,86.47,,84.90,49.03,,,
175,HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1.5,dense,true,true,true,text,mit,2024-12-26,1885,58,0.494,0.494,896,512,4,true,true,false,false,true,true,,,85.78,,83.39,46.13,,,
176,voyageai/voyage-law-2,dense,false,true,false,text,,2024-04-15,,100,,,1024,16000,1,false,false,false,false,false,true,,,75.66,48.10,84.54,,,,32.45
177,manu/sentence_croissant_alpha_v0.4,dense,true,false,true,text,mit,2024-04-27,2441,95,1.28,1.28,2048,2048,3,true,true,false,false,false,true,57.71,54.55,70.34,43.22,76.64,44.65,43.18,75.34,28.46
178,Alibaba-NLP/gte-modernbert-base,dense,true,false,true,text,apache-2.0,2025-01-21,284,95,0.149,0.149,768,8192,4,true,true,false,false,true,true,,,80.71,,85.94,47.63,,,
179,Bytedance/Seed1.6-embedding-1215,dense,false,true,false,text,,2025-12-15,,48,,,2048,32768,1,false,false,false,false,false,true,,,,,,,,,
180,manu/sentence_croissant_alpha_v0.3,dense,true,false,true,text,,2024-04-26,2441,95,1.28,1.28,2048,2048,2,true,false,false,false,false,true,57.80,54.36,71.09,41.63,78.19,44.23,42.61,77.03,25.76
181,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,dense,true,false,true,text,apache-2.0,2019-11-01,449,100,0.118,0.118,384,512,4,true,true,false,false,true,true,56.42,53.99,69.19,41.74,80.01,45.43,35.93,78.73,26.92
182,BAAI/bge-large-en,dense,true,true,true,text,mit,2023-08-05,1242,100,0.335,0.335,1024,512,5,true,true,false,true,true,true,,,80.49,,86.13,47.49,,,
183,Alibaba-NLP/gte-base-en-v1.5,dense,true,false,true,text,apache-2.0,2024-06-20,,NA,0.137,0.137,768,8192,4,true,true,false,false,true,true,,,81.31,,85.35,46.58,,,
184,manu/sentence_croissant_alpha_v0.2,dense,true,false,true,text,,2024-03-15,2441,95,1.28,1.28,2048,2048,2,true,false,false,false,false,true,56.56,53.59,70.57,43.17,75.18,43.36,40.62,73.55,28.70
185,ai-forever/ru-en-RoSBERTa,dense,true,true,true,text,mit,2024-07-29,1540,100,0.404,0.404,1024,512,4,true,true,false,false,true,true,57.26,53.90,69.41,42.63,74.70,43.80,43.14,75.58,28.00
186,jinaai/jina-embeddings-v2-small-en,dense,true,false,true,text,apache-2.0,2023-09-27,62,95,0.033,0.033,512,8192,4,true,true,false,false,true,true,,,,32.07,84.44,45.30,26.47,77.84,20.10
187,BAAI/bge-base-en,dense,true,true,true,text,mit,2023-08-05,390,100,0.109,0.109,768,512,5,true,true,false,true,true,true,,,79.34,,85.97,46.49,,,
188,sergeyzh/LaBSE-ru-turbo,dense,true,false,true,text,mit,2024-06-27,490,100,0.129,0.129,768,512,3,true,true,false,false,false,true,55.68,54.05,71.61,38.23,81.11,42.55,34.18,77.89,32.74
189,Alibaba-NLP/gme-Qwen2-VL-2B-Instruct,dense,true,true,true,image; text,apache-2.0,2024-12-24,8427,95,2.209,2.209,1536,32768,4,true,true,false,false,true,true,,,83.18,,82.54,47.03,,,
190,Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,dense,true,false,true,text,apache-2.0,2024-06-25,449,100,0.118,0.118,384,512,3,true,true,false,false,false,true,54.43,52.82,69.61,40.01,80.35,44.15,29.37,78.18,28.04
191,Mihaiii/Wartortle,dense,true,false,true,text,mit,2024-04-30,66,100,0.017,0.017,384,512,3,true,true,false,false,false,true,54.11,52.64,70.31,40.56,80.72,42.18,26.91,78.52,29.31
192,nomic-ai/modernbert-embed-base,dense,true,true,true,text,apache-2.0,2024-12-29,568,87,0.149,0.149,768,8192,5,true,true,true,false,true,true,,,78.01,,83.96,46.48,,,
193,Mihaiii/gte-micro,dense,true,false,true,text,mit,2024-04-21,66,NA,0.017,0.017,384,512,3,true,true,false,false,false,true,53.89,52.50,67.47,41.86,80.76,43.16,27.66,77.86,28.76
194,Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,dense,true,false,true,text,apache-2.0,2024-06-16,1796,NA,0.471,0.471,768,512,4,true,true,false,false,true,true,52.98,52.20,69.56,38.62,81.24,41.46,24.21,78.45,31.83
195,amazon/Titan-text-embeddings-v2,dense,false,false,false,text,https://aws.amazon.com/service-terms/,2024-04-30,,NA,,,,,1,false,false,false,false,false,true,,,76.74,,82.15,47.29,,,
196,omarelshehy/arabic-english-sts-matryoshka,dense,true,false,true,text,apache-2.0,2024-10-13,2136,NA,0.56,0.56,1024,514,4,true,true,false,false,true,true,51.19,51.14,71.89,38.73,77.64,40.27,15.74,78.66,35.07
197,KiteFishAI/Nano-Em1-0.6B-v2,dense,true,true,true,text,apache-2.0,2026-07-20,1137,48,0.596,0.596,1024,40960,3,true,true,false,false,false,true,,,83.39,,83.69,45.67,,,
198,minishlab/potion-base-32M,dense,true,false,true,text,mit,2025-01-22,123,100,0.032,0.032,512,,5,true,true,true,false,true,true,54.63,52.13,71.70,41.25,78.17,42.45,32.67,73.93,24.74
199,Mira190/Euler-Legal-Embedding-V1,dense,true,false,true,text,apache-2.0,2025-11-06,15618,95,7.567,7.567,4096,1536,4,true,true,false,false,true,true,,,,,,,,,
200,BidirLM/BidirLM-1.7B-Embedding,dense,true,true,true,text,apache-2.0,2026-04-07,3282,100,1.721,1.721,2048,8192,5,true,true,false,true,true,true,,,,,,,,,
201,microsoft/harrier-oss-v1-270m,dense,true,true,true,text,mit,2026-03-27,512,87,0.268,0.268,640,32768,3,true,true,false,false,false,true,,,,,,,,,
202,shibing624/text2vec-base-multilingual,dense,true,false,true,text,apache-2.0,2023-06-22,449,100,0.118,0.118,384,256,4,true,true,false,false,true,true,,,,38.22,77.46,43.78,24.63,80.15,25.54
203,jinaai/jina-embedding-s-en-v1,dense,true,false,true,text,apache-2.0,2023-07-07,134,100,0.035,0.035,512,512,4,true,true,false,false,true,true,,,,37.41,79.22,45.46,41.67,78.17,24.92
204,voyageai/voyage-large-2,dense,false,true,false,text,,2023-10-29,,100,,,1536,16000,1,false,false,false,false,false,true,,,73.79,48.01,83.06,,,,27.87
205,voyageai/voyage-code-2,dense,false,true,false,text,,2024-01-23,,100,,,1536,16000,1,false,false,false,false,false,true,,,73.74,48.01,83.06,,,,27.87
206,BidirLM/BidirLM-1B-Embedding,dense,true,true,true,text,apache-2.0,2026-04-07,1907,100,1,1,1152,32768,5,true,true,false,true,true,true,,,,,,,,,
207,minishlab/potion-retrieval-32M,dense,true,false,true,text,mit,2025-01-23,123,100,0.032,0.032,512,,5,true,true,true,false,true,true,53.92,50.83,67.02,41.32,76.38,41.89,35.06,73.30,20.84
208,encord-team/ebind-full,dense,true,false,false,video; audio; image; text,cc-by-nc-sa-4.0,2025-11-19,6828,100,1.79,1.79,1024,512,4,true,false,true,false,true,true,52.64,49.55,65.03,45.49,74.62,41.39,31.94,69.95,18.40
209,BAAI/bge-small-en,dense,true,true,true,text,mit,2023-08-05,127,100,0.033,0.033,512,512,5,true,true,false,true,true,true,,,78.58,,83.84,46.37,,,
210,BAAI/bge-m3,dense,true,false,true,text,mit,2024-06-28,2167,97,0.568,0.568,1024,8192,5,true,true,false,true,true,true,,,,,,,,,34.77
211,ibm-granite/granite-embedding-311m-multilingual-r2,dense,true,false,true,text,apache-2.0,2026-04-29,594,95,0.312,0.312,768,8192,4,true,true,false,false,true,true,,,,,,,52.55,,
212,Mihaiii/Squirtle,dense,true,false,true,text,mit,2024-04-30,60,100,0.016,0.016,384,512,3,true,true,false,false,false,true,52.00,50.88,69.22,38.80,78.68,41.22,24.02,75.63,28.59
213,BidirLM/BidirLM-0.6B-Embedding,dense,true,true,true,text,apache-2.0,2026-04-07,1137,100,0.596,0.596,1024,8192,5,true,true,false,true,true,true,,,,,,,,,
214,jinaai/jina-embeddings-v4,dense,true,true,true,image; text,cc-by-nc-4.0,2025-06-24,7500,95,3.935,3.935,2048,32768,3,true,false,false,false,true,true,,,,,,,56.15,85.89,
215,minishlab/potion-base-8M,dense,true,false,true,text,mit,2024-10-29,29,100,0.008,0.008,256,,5,true,true,true,false,true,true,53.33,51.08,70.34,39.74,76.62,41.79,31.11,72.91,25.06
216,aari1995/German_Semantic_STS_V2,dense,true,false,true,text,,2022-11-17,1281,NA,0.336,0.336,1024,512,2,true,false,false,false,false,true,50.31,49.95,67.75,37.71,75.66,42.16,17.77,77.68,30.88
217,Mihaiii/Venusaur,dense,true,false,true,text,mit,2024-04-29,60,NA,0.016,0.016,384,512,3,true,true,false,false,false,true,51.99,50.80,72.28,37.30,80.70,41.85,25.24,72.30,25.92
218,voyageai/voyage-2,dense,false,true,false,text,,2023-10-29,,100,,,1024,4000,1,false,false,false,false,false,true,,,,46.44,82.08,,,79.38,27.84
219,voyageai/voyage-finance-2,dense,false,true,false,text,,2024-05-30,,100,,,1024,32000,1,false,false,false,false,false,true,,,74.33,46.64,78.07,,,77.25,27.92
220,sentence-transformers/sentence-t5-xxl,dense,true,false,true,text,apache-2.0,2024-03-27,9279,100,4.866,4.866,768,512,4,true,true,false,false,true,true,,,66.13,,85.07,,,,
221,izhx/udever-bloom-560m,dense,true,false,false,text,https://huggingface.co/spaces/bigscience/license,2023-10-24,,100,0.559,0.559,,,3,true,false,false,false,true,true,,,,32.56,81.05,43.95,,,15.04
222,openai/text-embedding-ada-002,dense,false,false,false,text,,2022-12-15,,NA,,,1536,8191,1,false,false,false,false,false,true,,,75.79,,84.89,,,,
223,sentence-transformers/sentence-t5-xl,dense,true,false,true,text,apache-2.0,2024-03-27,2367,100,1.242,1.242,768,512,4,true,true,false,false,true,true,,,76.58,,86.06,,,,
224,minishlab/potion-base-4M,dense,true,false,true,text,mit,2024-10-29,14,100,0.004,0.004,128,,5,true,true,true,false,true,true,51.80,49.77,68.00,39.47,75.37,41.41,28.43,71.87,23.82
225,sentence-transformers/LaBSE,dense,true,false,true,text,apache-2.0,2019-11-01,1796,100,0.471,0.471,768,512,5,true,true,true,false,true,true,48.81,49.45,67.98,36.08,78.87,41.28,18.05,70.63,33.27
226,sentence-transformers/static-similarity-mrl-multilingual-v1,dense,true,false,true,text,apache-2.0,2025-01-15,413,95,0.108,0.108,1024,,6,true,true,true,true,true,true,50.83,49.64,66.22,31.15,79.02,41.59,28.81,74.49,26.20
227,sentence-transformers/static-retrieval-mrl-en-v1,dense,true,false,true,text,apache-2.0,2024-10-24,119,100,0.031,0.031,1024,,4,true,true,true,false,false,true,51.25,48.56,64.47,32.22,75.63,41.79,34.95,72.11,18.77
228,minishlab/M2V_base_glove,dense,true,false,true,text,mit,2024-09-21,391,100,0.102,0.102,256,,5,true,true,true,false,true,true,50.81,49.79,66.95,37.04,75.34,40.86,28.06,70.33,29.97
229,cointegrated/LaBSE-en-ru,dense,true,false,true,text,not specified,2021-06-10,492,100,0.129,0.129,768,512,3,true,false,true,false,false,true,48.22,48.91,67.26,36.70,77.73,41.12,16.58,70.13,32.88
230,ibm-granite/granite-embedding-97m-multilingual-r2,dense,true,false,true,text,apache-2.0,2026-04-29,186,95,0.097,0.097,384,8192,4,true,true,false,false,true,true,,,,,,,50.09,,
231,consciousAI/cai-lunaris-text-embeddings,dense,true,false,true,text,apache-2.0,2023-06-22,,NA,0.335,0.335,1024,512,3,true,true,false,false,false,true,49.50,48.05,61.29,39.03,75.80,40.99,26.00,70.57,22.65
232,minishlab/M2V_base_glove_subword,dense,true,false,true,text,mit,2024-09-21,391,100,0.103,0.103,256,,5,true,true,true,false,true,true,49.80,48.92,66.87,36.78,74.71,40.69,25.41,69.38,28.62
233,sentence-transformers/sentence-t5-large,dense,true,false,true,text,apache-2.0,2022-02-09,639,100,0.336,0.336,768,512,4,true,true,false,false,true,true,,,,,84.97,,,,
234,deepvk/USER-base,dense,true,true,true,text,apache-2.0,2024-06-10,473,100,0.427,0.427,768,512,4,true,true,false,false,true,true,48.85,48.53,62.82,34.14,75.53,39.15,24.32,71.91,31.84
235,minishlab/potion-base-2M,dense,true,false,true,text,mit,2024-10-29,7,100,0.002,0.002,64,,5,true,true,true,false,true,true,48.71,47.49,64.13,37.53,73.72,40.46,22.99,69.77,23.80
236,Jaume/gemma-2b-embeddings,dense,true,false,true,text,,2024-06-29,9560,100,2.506,2.506,2048,8192,2,true,false,false,false,false,true,37.72,36.18,60.70,42.42,53.62,37.34,7.88,44.48,6.79
237,minishlab/M2V_base_output,dense,true,false,true,text,mit,2024-09-21,29,100,0.008,0.008,256,,5,true,true,true,false,true,true,48.99,47.96,66.84,33.96,74.90,39.31,25.36,68.76,26.61
238,minishlab/potion-multilingual-128M,dense,true,false,true,text,mit,2025-05-23,489,97,0.128,0.128,256,,5,true,true,true,false,true,true,,,,37.52,71.88,40.33,24.10,70.36,24.42
239,sergeyzh/rubert-tiny-turbo,dense,true,false,true,text,mit,2024-06-21,111,100,0.029,0.029,312,2048,3,true,true,false,false,false,true,45.98,46.73,61.54,33.18,76.16,39.31,18.62,67.00,31.33
240,sentence-transformers/gtr-t5-xxl,dense,true,false,true,text,apache-2.0,2022-02-09,9279,100,4.866,4.866,768,512,4,true,true,false,false,true,true,,,73.21,,86.12,,,,
241,McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse,dense,true,true,false,text,mit,2024-04-09,28629,100,7.547,7.547,4096,8192,5,true,true,true,false,true,true,,,76.72,,78.01,43.63,,,
242,BidirLM/BidirLM-270M-Embedding,dense,true,true,true,text,apache-2.0,2026-04-07,511,100,0.268,0.268,640,32768,5,true,true,false,true,true,true,,,,,,,,,
243,sentence-transformers/gtr-t5-xl,dense,true,false,true,text,apache-2.0,2022-02-09,2367,100,1.242,1.242,768,512,4,true,true,false,false,true,true,,,72.63,,86.13,,,,
244,McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse,dense,true,true,false,text,mit,2024-04-09,27126,100,6.647,6.647,4096,32768,5,true,true,true,false,true,true,,,76.70,,77.89,43.21,,,
245,Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,dense,true,false,true,text,apache-2.0,2024-06-15,418,100,0.109,0.109,768,514,4,true,true,false,false,true,true,41.46,42.80,58.40,31.61,70.09,36.55,7.02,66.29,29.60
245,cointegrated/rubert-tiny,dense,true,false,true,text,mit,2021-05-24,45,100,0.012,0.012,312,512,4,true,true,true,false,false,true,40.10,41.07,61.88,34.18,59.92,36.73,6.31,58.87,29.59
247,cointegrated/rubert-tiny2,dense,true,false,true,text,mit,2021-10-28,112,100,0.029,0.029,312,2048,4,true,true,true,false,false,true,41.56,41.99,57.96,33.53,68.21,37.42,9.11,64.25,23.49
248,hotchpotch/bekko-embedding-v1-a25m,dense,true,false,true,text,mit,2026-07-28,470,97,0.123,0.123,384,8192,5,true,true,false,true,true,true,,,,,,,,,
249,sentence-transformers/sentence-t5-base,dense,true,false,true,text,apache-2.0,2022-02-09,209,100,0.223,0.223,768,512,4,true,true,false,false,true,true,,,,,85.17,,,,
250,Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,dense,true,false,true,text,apache-2.0,2024-06-17,621,100,0.163,0.163,768,512,4,true,true,false,false,true,true,39.77,41.46,61.41,29.55,67.95,37.45,4.68,60.99,28.21
251,voyageai/voyage-3.5,dense,false,true,false,text,,2025-01-21,,100,,,1024,32000,1,false,false,false,false,false,true,,,,,,,,,
252,silma-ai/silma-embeddding-matryoshka-v0.1,dense,true,false,true,text,apache-2.0,2024-10-12,516,NA,0.135,0.135,768,512,4,true,true,false,false,true,true,40.09,41.23,57.08,31.50,68.99,37.61,7.54,61.46,24.45
253,DeepPavlov/distilrubert-small-cased-conversational,dense,true,false,true,text,not specified,2022-06-28,408,100,0.107,0.107,768,512,3,true,false,false,false,true,true,36.61,37.59,58.94,30.61,49.12,35.21,7.08,51.74,30.40
254,Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,dense,true,false,true,text,apache-2.0,2024-06-16,516,100,0.135,0.135,768,512,4,true,true,false,false,true,true,39.04,40.83,53.76,30.41,67.11,37.99,5.96,62.49,28.12
255,Hum-Works/lodestone-base-4096-v1,dense,true,false,true,text,apache-2.0,2023-08-25,,100,0.137,0.137,768,,3,true,true,false,false,false,true,,,50.90,,80.40,45.40,,,15.68
256,sentence-transformers/gtr-t5-large,dense,true,false,true,text,apache-2.0,2022-02-09,639,100,0.336,0.336,768,512,4,true,true,false,false,true,true,,,,,85.33,,,,
257,hotchpotch/bekko-embedding-v1-a8m,dense,true,false,true,text,mit,2026-07-28,202,97,0.106,0.106,384,8192,5,true,true,false,true,true,true,,,,,,,,,
258,ai-forever/sbert_large_mt_nlu_ru,dense,true,false,true,text,not specified,2021-05-18,1629,100,0.427,0.427,1024,512,2,true,false,false,false,false,true,35.50,36.01,52.56,30.68,53.64,36.64,3.82,55.32,19.44
